OBJECTID,NAME,ADDRESS,ADDRESS_2,CITY,STATE,ZIP,COUNTY,APP_ID,RECV_DT,STATUS,STATUS_EFF_DT,RO,REVIEWER,APPLICANT,SIGNED_BY,CLASSIFICATION,PROG_CAT,PERMIT_TYPE,APP_TYPE,ADMIN_COMP_DT,INFO_REQ_DT,INFO_REQS,INFO_WAIT_DAYS,INFO_RECV_DT,EST_ISSUED_DT
440,Haldex Brake Products Corporation,5334 US 221 S,,Marion,NC,28752,McDowell,NCG030020,2026-06-29,Active,2026-07-01,Asheville,Brittany Carson,Haldex Brake Products Corp,,COC,NPDES Stormwater,,Renewal,2026-06-29,,0,0,,2026-07-01
491,Saft America Incorporated,313 Crescent St Ne,,Valdese,NC,28690,Burke,NCG030235,2026-06-29,Active,2026-07-01,Asheville,Brittany Carson,Saft America Inc,,COC,NPDES Stormwater,,Renewal,2026-06-29,,0,0,,2026-07-01
553,Crane ChemPharma and Energy Corp,1 Quality Way,,Marion,NC,28752,McDowell,NCG030499,2026-06-29,Active,2026-07-01,Asheville,Suzanne McCoy,Crane Chempharma and Energy Corp,J. Todd Poteat,COC,NPDES Stormwater,,Renewal,2026-06-29,,0,0,,2026-07-01
604,Morganton Pressure Vessels LLC,1 Alfredo Baglioni Dr,,Marion,NC,28752,McDowell,NCG030616,2026-06-29,Active,2026-07-01,Asheville,Jennifer Jones,Morganton Pressure Vessels LLC,Derrick Fairchild,COC,NPDES Stormwater,,Renewal,2026-06-29,,0,0,,2026-07-01
612,American Roller Bearings,307 Burke Dr,,Morganton,NC,28655,Burke,NCG030628,2026-06-29,Active,2026-07-01,Asheville,Bill Diuguid,American Roller Bearing Inc,Larry Riffe,COC,NPDES Stormwater,,Renewal,2026-06-29,,0,0,,2026-07-01
618,"Meritor Heavy Vehicle Systems, LLC",105 Wamsutta Mill Rd,,Morganton,NC,28655,Burke,NCG030644,2026-06-29,Active,2026-07-01,Asheville,Larry Wade,Meritor Heavy Vehicle Systems LLC,Lee Kearson,COC,NPDES Stormwater,,Renewal,2026-06-29,,0,0,,2026-07-01
656,ZRO Properties,100 Beiersdorf Dr,,Connellys Springs,NC,28612,Burke,NCG030705,2026-06-29,Active,2026-07-01,Asheville,Shane Strickland,Zro Properties,John R. Mitteer,COC,NPDES Stormwater,,Renewal,2026-06-29,,0,0,,2026-07-01
730,Baxter Healthcare Corporation,65 Pitts Sta Rd,,Marion,NC,287527925,McDowell,NCG060030,2026-06-29,Active,2026-07-01,Asheville,Brittany Carson,Baxter Healthcare Corporation,,COC,NPDES Stormwater,,Renewal,2026-06-29,,0,0,,2026-07-01
869,Case Farms Morganton Division,121 Rand St,,Morganton,NC,28655,Burke,NCG060392,2026-06-29,Active,2026-07-01,Asheville,Shane Strickland,Case Farms Processing Inc,William Pate,COC,NPDES Stormwater,,Renewal,2026-06-29,,0,0,,2026-07-01
984,Garbage Disposal Service-Burke,2911 NC Hwy 18 S,,Morganton,NC,28655,Burke,NCG080210,2026-06-29,Active,2026-07-01,Asheville,Brittany Carson,Republic Services of North Carolina LLC - Asheville,,COC,NPDES Stormwater,,Renewal,2026-06-29,,0,0,,2026-07-01
